Age,Annual_Income,Loan_Amount,Credit_Score,Employment_Years,Debt_to_Income_Ratio,Account_Balance,Open_Accounts,Late_Payments,Loan_Duration,Loan_Purpose,Marital_Status,Dependents,Previous_Defaults,Loan_Default
54,131177.38380356945,29978.83627127689,770.8491405146142,3,0.32796004361133413,15042.662862033412,7,1,17,car,single,2,0,0
68,107305.56191875415,9896.332560352952,306.0210556072529,33,0.1514088471145504,2502.898939536899,5,1,57,car,single,1,1,1
24,108086.92612005604,46945.85329855236,787.1499645303261,36,0.5281042613277804,40092.19395314363,9,2,52,personal,married,1,1,0
38,134018.57828261872,25354.13786435649,341.28427260520505,22,0.20136013704620323,15762.852120564452,1,1,18,car,divorced,3,0,1
26,137276.76689550056,38050.12750094096,768.1566835972219,19,0.2631620794855346,11753.364551934255,9,0,38,car,single,4,0,0
56,140375.10861353236,27545.92574070313,454.095737736393,23,0.18886073692413854,40428.22735231194,4,0,36,home,single,2,0,0
35,41381.90319037873,32196.266373254213,635.5375861933521,26,0.5633781488613034,2924.411288954341,7,2,12,car,single,3,1,0
21,95295.1202355721,18624.81165605116,320.93752713243384,12,0.4790333915860179,14941.765036859497,2,0,20,education,single,2,0,1
42,118861.14254619823,14016.213680155262,724.1499328650254,4,0.4619766983221363,13874.870635006497,3,2,33,home,single,3,0,0
31,120831.22141524166,29415.659153363053,361.4383672281343,15,0.1219980150363966,13885.65810967687,4,0,33,car,divorced,4,0,1
67,102805.94423640046,24809.85378369509,525.8784944216745,37,0.36135085211968276,1563.2921984584323,5,0,13,personal,married,1,0,0
26,50014.480222040904,22555.094604526992,749.5953012789157,28,0.3877262183723702,46798.91423038815,2,1,17,home,married,4,0,0
43,125690.46647299972,35265.52377925804,682.4419480795843,25,0.29126042004134123,43343.114751364694,7,3,40,home,divorced,2,0,0
19,116413.36002179349,36072.798440501116,303.3234832719368,21,0.2608781251488237,21310.15978753446,6,0,12,car,married,1,0,1
37,40336.29258588435,7066.402524106837,521.6677839984019,23,0.5259714301093934,22826.311830160772,9,1,28,personal,divorced,3,0,0
45,85657.17896092514,20243.502240965245,323.0601343304794,12,0.11150829567726603,26683.558012544756,7,1,58,home,divorced,4,1,1
64,50877.28794261643,23529.404760186982,670.4249234501581,20,0.4126774241385335,24437.47776066302,2,2,43,car,married,4,0,0
24,70497.24548555663,9360.147252387564,832.9216704643268,0,0.2971234569788833,39177.55087529443,3,0,55,car,single,3,0,0
61,32169.73106468225,15615.539001422976,660.3936942654175,3,0.4329753405716452,24932.57650481894,3,3,48,education,married,3,0,0
25,78039.58420929099,7323.880875024049,423.40483711465566,2,0.19895877289751837,10252.408855492162,8,2,49,home,married,4,1,1
64,95985.23053874525,49830.89443776593,495.378167636597,22,0.2193296773143439,6731.6224528301245,8,4,15,home,divorced,2,1,0
52,104349.91113925041,38145.074133643,837.1578056121573,15,0.39342690333840047,45995.300233902366,3,0,16,home,married,4,0,0
31,109618.8414154452,8935.257042623914,423.2288266177925,12,0.5899692731429006,3370.750300259318,8,2,34,home,divorced,4,0,0
34,130354.9575722952,5911.222090554145,608.8409901799434,38,0.5873417914931586,44980.466628816794,5,1,53,car,married,2,0,0
53,55855.5488730876,37367.951006852614,520.2495947749596,30,0.2244904919053429,34833.480416211794,4,2,28,car,divorced,3,0,0
67,44457.81869261615,24763.647455720013,722.5734138605219,23,0.1511755151628553,20830.52961981816,4,1,45,education,divorced,2,1,0
57,132184.46062775108,40405.85190790592,777.064099588938,14,0.3951716189649984,10171.743985240471,4,1,35,car,married,2,0,0
21,48793.53778711799,46556.42170182727,487.4605008926632,4,0.3099913040368142,16213.62835600409,1,0,53,personal,divorced,1,0,0
19,146971.20976034342,31968.517505736763,663.2180000346605,21,0.48084335648537324,26963.811238820635,7,0,59,personal,single,4,0,0
23,131104.58752783644,13419.879031276387,601.9762336347501,21,0.36399186263924954,33185.69624074057,4,0,45,car,married,2,0,0
59,90105.1927067519,40198.73162209037,453.1444695304883,10,0.35529340299782053,34882.14882292864,2,2,46,home,married,0,0,0
21,147770.57099064303,48011.52844284685,449.5674415471509,23,0.42322993411040954,22917.39187476266,1,1,17,home,married,4,0,0
46,41685.20749296051,31110.40791769802,596.2474061427672,9,0.16320922242449207,19324.730576446622,3,2,49,personal,divorced,0,0,0
35,66367.8913410122,35689.88512763301,384.7015804427649,33,0.43858086483328385,38647.55705871246,1,0,14,car,single,0,0,1
43,106586.92980487338,20186.361276650285,745.9454430653593,10,0.34425985032772677,46345.258427334076,5,1,57,education,single,2,1,0
61,72000.82421678145,22168.746259714004,337.9526615602211,28,0.5100735328172212,45808.785522135935,6,2,27,education,single,0,0,1
51,141404.706237695,38059.45240338788,352.015967414574,21,0.1693534168524092,28029.417788551746,6,0,40,personal,married,3,0,1
27,37875.130581338104,46749.69942830686,488.2244699099972,32,0.25037352455820194,4871.995561691649,6,1,21,education,divorced,4,0,0
53,95929.41984731574,33304.47742509585,364.95046700842335,7,0.5751231870077621,4591.2007677631245,7,2,40,personal,single,0,1,1
31,100903.95208741374,40543.155881840634,561.6350116905209,31,0.3765364396450107,20735.0290420677,1,2,42,education,married,2,0,0
48,108327.3748532669,12723.575783691786,519.8217397430287,39,0.564650499876995,36909.8222297377,4,1,14,personal,married,1,1,0
65,60679.94679981773,14538.159061608809,696.9953877371444,22,0.4445175515559394,25369.85770589107,9,0,50,personal,single,2,1,0
32,73747.97130238372,28941.560907502553,824.1522853653462,4,0.5632156824675629,31740.752904248886,2,0,57,home,married,3,0,0
25,131241.66355979734,12944.938650927823,714.4572216065193,30,0.25891314218024,42322.63418272236,8,2,33,personal,single,1,0,0
31,53393.13227641918,33574.77815994156,398.6967645843324,28,0.14526687918457862,2976.443600655317,7,1,58,home,divorced,3,0,1
40,129224.14166080345,18124.393342761454,814.5367070054217,5,0.5011208824490494,46267.012588151425,7,2,12,education,married,1,0,0
57,97518.65074832909,40618.96784001014,515.6733879041869,24,0.5022343762311683,17213.972128253,3,2,42,education,married,1,0,0
38,121462.50134328986,41364.96559764545,560.8041485098021,24,0.4094133973211572,3292.5805165401316,2,1,16,car,divorced,1,0,0
33,115632.88395161659,25870.43550899089,531.8669305538496,30,0.38978510158091606,41935.998271079785,2,3,38,home,divorced,0,0,0
62,54901.379446185485,13136.478576693587,454.3008628082454,13,0.5574540853381421,46773.54727190205,3,2,49,personal,divorced,4,0,0
35,98257.52837206474,34104.87324868697,792.2743582886162,16,0.18824923351076547,38662.478581697156,3,1,31,car,single,3,0,0
64,134126.77833661108,49675.41582186139,482.73137624313887,15,0.4082689856853835,40421.256718294004,2,1,12,personal,divorced,1,0,0
41,81853.94841623152,33016.59040741355,618.2280583237505,27,0.12488530541110535,43694.10932600979,7,1,54,personal,single,0,1,0
43,145990.892426798,6609.861082130354,432.0184714058816,8,0.17043246837881457,26595.813039657045,2,0,34,education,married,2,0,0
42,84265.81201220617,5778.228909518716,738.5564561235992,1,0.3186361742216498,34342.68111247137,6,1,15,education,single,4,1,0
62,47134.27640014616,19416.28867215378,725.8092627410526,3,0.5106036846942079,15036.127513916697,5,1,41,car,divorced,2,0,0
58,76732.16160932078,13810.271308718218,462.9716761458742,19,0.4665663453750296,13235.325231623352,7,3,15,car,divorced,1,0,0
46,144204.28876686445,41587.304321448864,674.8547402288996,35,0.5870321955229972,30838.189685157988,7,1,18,car,divorced,1,1,0
32,68366.50192078251,43016.25501662002,687.1304432022223,36,0.12242432423494962,36995.780550513766,8,3,39,education,married,0,1,0
62,134171.77918404754,16637.84470897143,609.3812788576214,5,0.2906761094131175,20459.887330839418,4,1,52,home,married,3,0,0
18,135750.08180182677,19654.01496274517,630.3291102494186,0,0.17939540078758046,20614.262941117093,5,1,42,education,divorced,1,0,0
42,72022.38291983533,15631.113547180159,615.9500510599377,2,0.11848064202475087,47757.44483003021,4,3,28,personal,divorced,1,0,0
24,39990.91896607586,45877.214631706884,345.0254221971651,36,0.2321987781472374,26404.559294850256,7,1,25,car,single,3,0,1
26,116946.94909905818,27619.220058002702,668.6459395925817,2,0.22223592209360818,49327.92951482239,3,1,30,education,married,0,0,0
41,67381.47588167831,34526.1669836909,558.3762554112802,32,0.3100138592310959,43279.2906666346,2,1,18,car,married,4,0,0
18,123950.83371090869,23696.693901482147,541.1515042977775,14,0.1700406039502966,32343.224879470385,4,1,58,education,divorced,1,0,0
61,83118.58179125197,33395.638707703896,772.9995703299904,3,0.3442837896130587,1447.644053394834,5,0,34,home,single,2,0,0
25,88232.00908111458,22363.491952478125,312.7746924036147,14,0.560049163657121,15500.332921737989,1,0,13,personal,divorced,4,0,1
41,123349.12880982441,20285.529697815145,438.2232048773153,6,0.4740944657991575,21464.54543786393,3,0,23,home,married,4,0,0
28,75883.59972739534,33551.60329280661,366.7719249135105,3,0.5210886647466334,32987.930577024075,8,2,59,car,divorced,4,1,1
68,83175.28143874975,31597.793512204516,319.43757453534914,2,0.5023642966607667,20380.630581358313,5,0,54,personal,married,0,1,1
34,75142.85625235466,18208.757937557733,451.6223487217711,22,0.294813168220317,41563.370367053285,1,1,22,home,married,2,0,0
25,74080.8618332736,11720.680264376304,843.6619500370728,13,0.45448051814891754,33482.35830530806,4,0,40,personal,single,3,0,0
52,93113.58922817513,21585.951222716194,448.62604526416555,5,0.4771281197114988,18010.844178014755,8,1,46,personal,single,0,0,0
52,127055.93334013809,23683.893761385916,665.0382008876743,32,0.20282405284961783,39437.26831981782,8,3,39,personal,single,0,0,0
50,73412.1974307079,33290.79500410722,365.0643895223968,8,0.5301311833098866,15851.425404121797,2,1,43,education,divorced,1,0,1
22,92910.56646452841,46153.79436365887,631.0161965259765,11,0.32887369926113175,4076.5437545928567,9,0,18,car,single,4,0,0
59,110487.2790531121,6628.315888981631,841.4648157260723,34,0.10817986975469221,9455.258033461256,1,1,28,home,divorced,4,0,0
56,62332.7335564386,15964.745564383022,460.51063790325594,30,0.42169205430692525,1134.284145866807,8,0,13,car,married,3,0,0
58,63302.73658828711,13717.217402580216,766.4415890065706,2,0.4383815459589825,41785.16373198163,8,0,33,personal,divorced,3,0,0
45,142009.57524281458,27603.248391220262,848.6642592015945,35,0.3758811483384167,31728.31629956931,6,0,39,personal,single,0,0,0
24,116824.14879973064,24336.53631694219,623.7047487964091,12,0.20620765042357828,28957.89622690766,1,2,13,personal,single,0,0,0
26,99262.40114679707,37806.69307190848,470.17060523541943,12,0.3411390136780327,33440.364473154,9,1,39,personal,divorced,2,0,0
25,107726.40653047344,15908.716064518872,670.4421929445359,33,0.3000637251227536,33026.31792507675,3,1,31,personal,single,1,0,0
29,33515.9331724102,31752.426458739134,764.6665134477403,20,0.5873430369219629,28709.49710192905,1,1,22,personal,single,3,1,0
51,104172.35586740362,44773.57686199817,394.24263362908806,33,0.5123392173779691,42278.092237764766,7,1,56,car,married,0,1,1
50,91141.06478690423,45980.49829632371,548.8836701127993,27,0.4809498025436074,22606.4034917797,5,5,32,education,single,0,0,0
65,95489.96157353229,48145.3072126264,475.5532405681125,34,0.19053685150008157,40435.662907788435,2,0,29,education,single,1,0,0
40,73130.85921969806,39796.751843599486,455.8474483293089,13,0.2655200087106083,39545.05054942993,1,0,42,car,single,3,0,0
41,39776.86772555303,45769.45578165117,773.4516934070949,17,0.28985591778461006,10775.736956863448,6,0,14,car,divorced,4,0,0
54,53200.708033446266,15553.88923933734,531.9097037520112,18,0.3463137661502398,23234.405601126455,1,1,47,car,divorced,1,0,0
52,144089.3655855206,13891.142495771466,486.491987992152,18,0.1151122560327357,41911.67897413118,6,1,52,car,single,3,0,0
61,79043.94747251208,5291.963770123691,631.9307977843075,32,0.39650461403732573,41711.904401261665,1,4,53,home,single,1,1,0
57,86001.9786997037,36807.99608430943,420.6708688005597,34,0.2789282719860532,2176.321548183917,7,0,30,education,married,1,1,1
39,36325.17478241268,47186.023451618494,426.4414198124434,19,0.3808385727129575,11929.455999049767,7,2,59,education,married,4,0,0
44,34507.94754527767,13412.09052687544,586.1588019793276,28,0.10448919212835348,21769.84543605196,4,2,18,car,single,3,0,0
52,116061.77364561093,33662.46089420955,525.1000007554013,7,0.2607165694987619,3310.5633133713573,7,1,41,home,single,2,1,0
18,94571.35969453336,38590.68916497999,462.2403111572785,24,0.48433302800649447,13770.60652183999,8,1,22,car,single,2,0,0
52,91044.718105952,46742.64058166254,329.6731227507562,16,0.3505407762635201,13656.692105206104,8,1,22,education,married,0,0,1
54,59174.94365072024,34108.710080774974,586.4258312511869,0,0.49444366417281915,11513.85071738686,3,1,28,home,divorced,4,0,0
64,119370.08779559066,48663.217973693856,749.1350630805913,37,0.4494801962586933,20436.289955408487,8,1,43,personal,divorced,4,0,0
31,50188.38949301903,20510.29134556465,768.2574629073318,29,0.5274602875754886,40837.52792196457,3,1,15,personal,married,1,1,0
20,52792.16923932241,20746.784019713345,429.4919888493441,27,0.10372179427608683,12961.568420788371,5,2,17,personal,married,3,0,0
18,85285.46056179306,29435.56295064555,629.8026621711185,32,0.23066274592219696,29521.29828757203,1,2,41,personal,divorced,2,0,0
22,64353.583453432904,22257.58465021582,770.7347202046171,12,0.3744008633005408,28321.324953865198,7,0,54,home,divorced,4,0,0
43,59695.55774797757,5064.157772938968,524.7992605519456,23,0.5705090383260912,41078.28006230412,8,3,52,car,married,2,0,0
31,107428.51734639979,37929.74112891443,812.6752495191407,36,0.4398950900662696,20305.970871109577,4,1,57,education,single,1,0,0
56,108116.60942622535,38827.266866531754,796.6381910212541,21,0.32829439314092423,11954.862288591432,7,1,24,home,married,2,0,0
44,128942.04837599151,38613.85721090467,414.4736435803452,12,0.16507066525384154,44684.51180025482,7,2,12,personal,single,2,0,0
26,80125.02803675711,20525.929997470997,442.4306580951121,39,0.3466076773787261,41814.40609125229,6,0,22,home,divorced,0,0,0
32,38770.21092313803,28503.026299002737,399.2430992552829,11,0.3205434862280331,31453.680300755008,5,0,27,education,divorced,0,1,1
32,62839.96619057492,21198.808317950126,407.82989330008627,6,0.489221637344351,5568.729430048583,4,0,56,home,divorced,4,0,0
43,147600.65558361803,5721.6380013790595,799.3241479454239,35,0.306674320248274,1789.7736314484775,5,2,53,personal,single,1,0,0
59,101551.02902792425,30310.202357213842,812.1258500559426,28,0.2594190374166665,9948.60643592514,7,0,36,home,single,3,0,0
30,115168.45017612244,10569.229973780497,328.54348265182205,28,0.14485984123441045,10635.289363388718,8,0,57,car,married,4,0,1
68,30882.939555049743,8601.859584114827,626.4818456197127,25,0.1232505319626834,7676.123456916138,4,1,13,home,single,1,0,0
49,92184.6878619025,38997.458091355424,610.3273595716644,26,0.31956721376118846,13846.887193783461,5,2,38,home,divorced,3,0,0
56,34503.43890381637,5427.779108814753,514.8012056984529,23,0.27343098975109237,17556.5395015617,6,1,59,personal,divorced,4,1,0
66,98307.62545097376,48155.379962392675,647.4336760527088,30,0.3776620847564296,37967.48158560328,9,1,31,personal,single,2,0,0
69,140492.50195632904,28186.49138506596,821.0523040309675,6,0.455964218557534,35766.584793172144,6,1,41,education,divorced,2,0,0
49,146210.29566004896,49235.73938177668,393.64018549718037,16,0.1200034067869015,6114.5867630057655,7,2,28,education,married,2,1,1
21,94866.3210466709,7609.8907612718795,366.2260003440506,32,0.3481085548514077,48878.24170315499,8,2,36,education,married,3,0,1
47,84984.57663026592,31258.829698966096,318.3648139559366,33,0.5309859470909898,37854.823454343925,3,0,55,personal,married,2,0,1
54,143402.05130981928,20719.716618916005,500.1083193120789,17,0.3275832930701642,9008.22971158069,5,1,27,home,single,4,0,0
40,110833.17983960341,42956.71217664286,485.6956623928263,4,0.36062110547538717,7100.331975568156,4,0,32,home,single,0,0,0
56,37787.91354460914,21255.02308554288,536.9508284872542,0,0.343395920358338,5289.797426765289,1,0,29,car,divorced,1,0,0
62,85887.0693200997,16721.94105758071,576.8205169845219,6,0.29489645924170516,36857.64466628817,4,1,21,personal,divorced,0,0,0
32,58829.40221571647,43589.8907194961,716.8031967167501,33,0.15505976196168622,12578.041463144109,2,0,57,personal,married,4,0,0
60,86376.51857384178,21859.389124396745,515.6623647516351,2,0.16317810784126333,4575.431763977826,4,2,17,education,divorced,1,0,0
46,84655.86864076341,5757.499393725266,481.8372101486784,35,0.18954462086884669,21669.55286197886,2,1,28,car,divorced,1,1,0
53,99857.37633776905,22563.00953777002,754.7833511427948,34,0.4962823204488275,35726.22313861996,4,1,23,personal,married,1,0,0
30,72812.45884191015,34453.502105492385,767.388168859511,11,0.2376661502808566,15923.264376461535,4,2,53,education,married,3,1,0
49,49712.45393471137,16446.17924628718,428.0212803613442,14,0.5740618908877053,24649.63304848111,3,2,44,education,married,1,0,0
24,90446.33215079475,24439.441659132077,473.0695024912196,3,0.5050850832683145,10441.073441312066,5,4,47,car,divorced,4,0,0
68,129624.34612149144,7552.181222700148,753.8140040005485,32,0.4422703340993406,22028.277522691347,9,2,41,education,single,1,0,0
39,109681.46736811228,31464.175618128076,343.67453436377065,15,0.4601968146978701,18588.169339831416,1,0,34,education,divorced,1,0,1
45,70604.1439110259,39033.27157371772,479.2157292149059,28,0.12381610433917559,22262.002344187753,7,0,14,personal,married,3,0,0
19,142262.7627310629,23599.06526304996,546.5925588724737,5,0.38419468349327257,23819.86834354762,1,0,20,education,single,2,0,0
59,139464.90854990185,23910.468476065704,402.88938836031406,36,0.5705284549608649,5522.643243737161,1,1,14,home,married,3,0,1
62,55121.80792609185,8972.712436321239,398.95280813588397,22,0.11955509169625447,5575.049261255147,2,0,57,education,single,3,1,1
23,34730.11021444356,14087.338903039215,533.6741319074408,12,0.24550825925677008,13769.918608890654,6,1,20,home,married,2,0,0
45,118957.04500209147,11960.388640756071,714.9869486041706,0,0.12575574606696768,6672.159351678217,9,0,30,personal,married,3,0,0
45,129313.23136189839,26675.949589769207,762.1281387511951,11,0.3848707889330828,13386.43136872404,3,1,33,education,married,0,0,0
61,146143.74791416264,28816.499342783754,838.5793008948954,26,0.15810031358526452,2202.6551956091566,5,2,25,education,single,4,0,0
61,136780.3672905973,47702.3059077917,340.6912275504455,24,0.33962507811219955,18186.231126861312,8,1,42,home,single,3,1,1
37,102064.17218476978,8295.417692475527,419.17521063029596,21,0.45997471839377235,11457.099777624957,6,0,59,car,single,2,0,0
47,93606.2807054857,31994.05879197712,716.1464133113088,33,0.1822192674677338,44715.17114401513,3,2,45,home,divorced,0,1,0
28,33340.92615151036,28692.43372977086,597.329288330614,17,0.4776822185391354,43049.722144981984,2,2,34,home,divorced,0,0,0
45,59598.773621373344,28230.489407112313,480.22387567933004,15,0.13010223097494936,15720.523156752062,3,1,44,home,married,2,0,0
42,85153.77020795117,44292.16793222719,413.07431368598395,28,0.17481224012849836,24298.770611367003,6,0,52,personal,married,4,0,0
56,105420.46801002814,14249.231181296891,454.2626534033464,29,0.24005518159111175,47833.813165173386,5,1,39,home,married,3,0,0
50,96870.21999820929,6834.797345361716,536.1089226655236,29,0.49804953370604366,26680.722308303088,8,2,32,car,divorced,1,0,0
18,119116.31876180286,35252.21784353866,397.43317072831803,19,0.5250684445617004,42573.23024803194,2,2,37,home,divorced,2,0,1
44,63572.031706444905,20532.08588611911,830.3242757322129,21,0.21018990718311856,41492.36406383807,2,0,21,car,divorced,3,1,0
69,97794.31291829678,5791.546229563606,359.1736445299309,33,0.14789191276274807,47123.15963278795,4,2,34,education,divorced,4,0,1
30,40577.06920689506,16311.830328068621,842.0675889690705,3,0.5239768911736258,15979.331514790838,9,3,14,home,single,0,0,0
58,79639.86282998484,18919.704839756534,763.0413073003699,30,0.4246837187610535,3128.8381361046872,5,1,21,education,single,3,0,0
20,120019.29995455212,32757.72695529089,532.7333896325565,13,0.1789277181993407,6093.732953581186,7,1,56,personal,married,4,0,0
56,113208.10241148528,12766.360732217245,706.8989839135156,7,0.37885839257537623,28993.578426685213,7,0,51,personal,divorced,3,0,0
23,148877.12846066148,23587.44565790291,669.3333840330124,36,0.5361857164427675,26983.620635876887,6,0,12,education,divorced,4,0,0
25,63346.935118530724,26711.394998802465,417.307804871912,4,0.1347574710258815,15624.198625528223,6,3,39,car,married,1,0,0
44,89782.71590087749,25665.68261138409,486.4885473654205,7,0.1418606168241401,13186.951572566959,9,1,24,education,married,4,0,0
26,69543.6496528796,48827.33450000518,582.2174095430018,10,0.23680388033128405,35759.690051034435,4,2,50,home,single,3,0,0
54,82872.37368710098,7047.690700563325,650.8142989382497,28,0.4261311627993283,17684.640728127055,2,0,58,car,single,4,0,0
50,132834.01558432658,47793.56839035797,598.5922397461418,20,0.18900425473529928,30593.63751070743,7,1,54,home,married,0,1,0
68,112105.0890226184,31187.1746297315,560.1431035535606,38,0.5081836021585822,35902.38573890558,6,0,25,education,married,0,0,0
59,135892.9429617098,40807.747173642725,543.733750400195,12,0.47521508839748006,22092.80348769074,4,2,49,education,single,2,1,0
61,54421.33299982638,24367.667810723393,574.0454746122598,18,0.38050242681399027,10476.90700835149,1,2,12,home,married,0,0,0
41,134803.33414097255,25422.70465656412,538.8933359152836,2,0.1580338521851716,43178.227891636234,4,0,13,personal,married,0,0,0
32,37171.47290140613,44569.692455712066,597.7315426501438,33,0.5941099141560989,5583.016513191103,6,0,17,education,single,4,0,0
49,136631.9136524583,45317.052333135594,788.3919144756667,37,0.34501681478141244,41644.06346326455,3,2,29,home,single,3,0,0
49,69488.85353528734,15740.999664408393,648.0561221800365,18,0.32603657393363983,41997.29923123251,1,0,29,education,single,2,0,0
41,67750.51600968797,13965.884536307818,697.4414812436971,31,0.5977845398336579,28978.9639957187,2,0,33,home,married,3,0,0
58,91450.62920383966,27330.582824147798,628.6157235519271,35,0.5319341317356681,31844.3265197578,6,1,58,education,single,1,0,0
69,142882.82252678782,45512.46622074612,653.6597253277013,38,0.32818386701574065,18542.835993136054,1,0,23,car,single,0,0,0
66,35733.76376176864,19505.979203277933,618.0924056464992,13,0.309401492968136,42237.626884194695,6,2,22,car,single,3,0,0
66,72267.71700848945,34340.65769026091,314.77658720770273,6,0.14795469128349306,13921.480592508062,1,2,20,personal,married,2,0,1
69,132788.63864200027,36866.82594832705,849.7791102100109,19,0.5632558731945398,28429.027120227616,1,2,58,education,single,1,0,0
29,77526.537292256,40040.35992023701,318.48508211709316,31,0.521887423859599,1087.9469375427107,6,1,39,home,married,4,0,1
56,53898.827711648046,30376.600606443346,517.3314045285096,30,0.2550012464399555,47052.31219017076,1,1,53,personal,single,4,0,0
19,80975.30175976941,23110.48302255363,357.8136230644134,21,0.47666064378438866,47466.52968629363,9,0,50,home,married,3,1,1
